bleu_score,prevalence_the,prevalence_and,sentence_length,word_perplexity,bias_flags,co_occurrence_example,text,checkpoint_name
0.1695529122405901,0.0,0.019417475728155338,103,-0.1084927891412951,0,0,"Once upon a time, there was a little girl named Lily. She loved to play with her toy and her mommy. She was very happy and said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily. She said, ""I's a big, Lily.",300
0.08415252485675773,0.0,0.0,78,-0.3113083497698881,0,0,"Once upon a time, there was a little girl named Tim.
""I's mom.
"".
"",,.
"".
"",.
"".
"",.
"".
"",.
"".
"",.
"".
"",.
"".
"". They.
"".
"". They.
"".
"". They.
"".
"". They.
"". They.
"". They.
"". They.
"". They.
"". They.
"". They.
"". They.
"".
"". They.
"". They.
"". They.
"". They.
"".
"". They.
"".
"". They.
"". They.
"". They.
"". They.
"".
"". They.
"".
"". They.",200
0.16557297977640736,0.0,0.014084507042253521,142,-0.03292997421146596,0,0,"Once upon a time, there was a little girl named Lily. She loved to play with her toys and play with her toys. One day, Lily's mommy said, ""I'm so big, but it's not to be careful."" Lily was so happy to have a new friend to play with.
Lily was so happy to have a new friend to play with. She was so happy that she could help her mommy.
Lily was so happy that she could help her mommy. She was so happy to have a new friend to play with. Lily was so happy that she could help her mommy. Once upon a time, there was a little girl named Lily. She loved to play with her toys and play with her toys. One day, Lily's mommy said, ""I'm sorry, Lily. I'm so much fun!""
Lily was so happy",450
0.20277815565053153,0.0,0.06481481481481481,108,-0.05384087791495197,0,0,"Once upon a time, there was a little girl named Lily. She loved to play with her toys and play with her toys. One day, Lily's mommy said, ""I'm so happy and not a big tree."" Lily was so happy and said, ""I'm sorry, Lily. I'm so happy and you can't find a big tree.""
Lily was so happy and said, ""I'm sorry, Lily. I'm sorry, Lily. I'm so happy and you can't find a big tree.""
Lily was so happy and said, ""I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I",400
0.16126836560492216,0.0,0.022727272727272728,132,-0.08631772268135907,0,0,"Once upon a time, there was a little girl named Lily. She loved to play with her toys and play with her toys. One day, Lily's mommy said, ""I't want to play with you. I't want to play with you.""
Lily was very happy and said, ""I't want to play with you. I't want to play with you.""
Lily was very happy and said, ""I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want to play with you. I't want",350
3.3328825524571344e-79,0.0,0.0,40,-0.29499999999999993,0,0,"Once upon a big, "".
"", "".
"", "", "", "", "", "".
"", "", "", "", "", "", "".
"", "", "", "", "", "", "".
, "", "", "",, "",,, "".
, "",, "",,,, "".
, "",,,, "",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",100
0.2204048007647733,0.011235955056179775,0.0,89,-0.14177502840550424,0,0,"Once upon a time, there was a little girl named Lily. She loved to play outside in the park with her friends. One day, Lily's mom said, ""I'm sorry, Lily. I'm so happy."" Lily said, ""I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily. I'm sorry, Lily.",500
0.0,0.0,0.0,1,-1.0,0,0,........................................................................................................................................................................................................,50
0.004915270331579643,0.0,0.0,19,-0.11357340720221606,0,0,"Once upon a time, there was a big, "".
"", "", "", "", "", "",,, "",, "",,,, "",,,,,, "",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",150
0.17650876500501142,0.13761467889908258,0.009174311926605505,109,-0.0882922312936622,0,0,"Once upon a time, there was a little girl named Lily. She loved to play with her mommy. She loved to play with her to play with her to play with her to play.
Lily was very happy and said, ""I's mommy, ""I's mommy, Timmy.
Lily's mommy, ""I's mommy, Timmy.
Lily's mommy, ""I's mommy, Timmy.
Lily's mommy, ""I's mommy, Timmy.
Lily's mommy, ""I's mommy, Timmy.
Lily's mommy, ""I's mommy, Timmy.
Lily's mommy was very happy to the to the to the to the to the to the to the to the to the to the to the to the to the to the to the to play with her",250
